id,text,category
186,"Photocopier in library is broken for more than a month","Library"
187,"Seepage in wall causing damage to student belongings","Maintenance"
188,"Security does not allow students in campus after 9 PM","Security"
189,"Choice for elective subject not given in examination form","Examination"
190,"No refund process for cancelled events fee collected","Administration"
191,"Excellent variety of food provided every day in mess","Cafeteria"
192,"Library has 24-hour internet access now — wonderful","Wi-Fi / Internet"
193,"Hostel staff goes above and beyond to help students","Hostel"
194,"Bus driver waited for late students — very considerate","Transport"
195,"Our department HOD responds to all queries promptly","Academics"
196,"Library silent zone is well-maintained and distraction-free","Library"
197,"Classroom projectors replaced with new LED screens","Maintenance"
198,"Lost wallet returned by campus security — trustworthy","Security"
199,"Rechecking result corrected fairly without issue","Examination"
200,"Principal solved our class representative's concern quickly","Administration"
201,"Canteen near hostel has dirty tables and no dustbins","Cafeteria"
202,"WiFi does not work on mobile phones only on laptops","Wi-Fi / Internet"
203,"Hostel electricity bill charged extra without receipts","Hostel"
204,"Campus buses do not have proper seat belts","Transport"
205,"Teacher ignores student questions and moves on quickly","Academics"
206,"Library staff asked for bribe to issue reference books","Library"
207,"Open drain near hostel causes smelly environment","Maintenance"
208,"Girls cannot re-enter hostel after 8 PM even for medical","Security"
209,"Exam paper had printing error in question number 5","Examination"
210,"ID card reissue fee is unreasonably high","Administration"
211,"WiFi speed drops drastically after 6 PM everyday","Wi-Fi / Internet"
212,"Library opening hours should be extended on weekends","Library"
213,"Broken steps near canteen area are a safety hazard","Maintenance"
214,"Our college bus gets cancelled without any WhatsApp alert","Transport"
215,"Professor not teaching the revised updated syllabus","Academics"
216,"Warden randomly checks girl students rooms without consent","Security"
217,"Exam room changed at last minute without informing students","Examination"
218,"College management ignores written complaints from students","Administration"
219,"Cafeteria sells packaged food past expiry dates","Cafeteria"
220,"Hostel mirror and toilet accessories are all broken","Hostel"
221,"The mess is so unhygienic, I got food poisoning twice","Cafeteria"
222,"WiFi keeps disconnecting every 5 minutes, very annoying","Wi-Fi / Internet"
223,"Hostel roof leaks badly during every rain season","Hostel"
224,"Bus conductor pockets extra fare from outstation students","Transport"
225,"Assignments evaluated by wrong faculty member","Academics"
226,"Library fine charged even when book was returned on time","Library"
227,"Broken benches outside mess create aesthetic issues","Maintenance"
228,"New student harassed by seniors — college silent","Security"
229,"Grace marks not applied even after doctor certificate","Examination"
230,"Application for duplicate ID rejected with no reason given","Administration"
231,"WiFi signal is excellent throughout the campus now","Wi-Fi / Internet"
232,"Library resources upgraded — students very happy","Library"
233,"Campus bus drivers are trained and fully licensed","Transport"
234,"Faculty members are always available on call for students","Academics"
235,"Hostel warden resolved our conflict within an hour","Hostel"
236,"Cafeteria hygiene audit completed — everything spotless","Cafeteria"
237,"Water supply restored quickly by maintenance squad","Maintenance"
238,"Campus security helped student during medical emergency","Security"
239,"Supplementary exams handled smoothly and fairly","Examination"
240,"Scholarship portal updated — process now transparent","Administration"
241,"Canteen food is spicy and causes stomach issues daily","Cafeteria"
242,"Hostel WiFi shuts down at 11 PM — can't study online","Wi-Fi / Internet"
243,"Room heaters in hostel not working in December cold","Hostel"
244,"No reserved seats for girls in college bus","Transport"
245,"Internal exam conducted without prior notification","Academics"
246,"Cannot access digital journals via library portal","Library"
247,"Construction noise near classroom disrupts lectures","Maintenance"
248,"No action taken on eve-teasing complaint near main gate","Security"
249,"Project marks not uploaded timely causing grade issue","Examination"
250,"TC process requires 10 different approvals unnecessarily","Administration"
251,"Mess food tastes good but gets over before everyone eats","Cafeteria"
252,"Bandwidth throttled during streaming lectures from LMS","Wi-Fi / Internet"
253,"Hostel needs a separate area for group study","Hostel"
254,"Bus arrives 20 minutes late and leaves 10 minutes early","Transport"
255,"No student-faculty interaction sessions organized","Academics"
256,"Library does not stock latest edition textbooks","Library"
257,"Seating in library reading room is insufficient","Library"
258,"Elevator very slow in academic block during rush hours","Maintenance"
259,"No proper lighting in parking area after 7 PM","Security"
260,"Special exam not arranged for sick students in time","Examination"
261,"Transfer certificate issued with spelling mistake","Administration"
262,"Freshers enjoying campus WiFi and food — great experience","Wi-Fi / Internet"
263,"Hostel common room has new furniture — appreciated","Hostel"
264,"New direct bus route saves 30 minutes travel time","Transport"
265,"Extra lab sessions arranged before exams — helpful","Academics"
266,"Library added 500 new titles this semester — amazing","Library"
267,"Cafeteria added fresh juice counter — very refreshing","Cafeteria"
268,"All damaged classroom benches replaced overnight","Maintenance"
269,"Security team organized a road safety drive — great work","Security"
270,"Exam schedule uploaded 2 weeks in advance — well planned","Examination"
271,"All scholarship applications processed before semester end","Administration"
272,"Food quality in mess deteriorated after new vendor took over","Cafeteria"
273,"WiFi login portal says wrong username constantly","Wi-Fi / Internet"
274,"Hostel lights not working in corridor near block D","Hostel"
275,"Campus bus picked up students from unofficial stop causing conflict","Transport"
276,"Practical syllabus not covered but theory was taught only","Academics"
277,"Library computer lab PCs are very slow and outdated","Library"
278,"Drainage system needs repair near academic block entrance","Maintenance"
279,"Female students feel unsafe walking to their blocks at night","Security"
280,"Exam papers in wrong medium language distributed","Examination"
281,"Bonafide issued with incorrect date of joining","Administration"
282,"College mess now serves regional dishes — really enjoyed","Cafeteria"
283,"WiFi extends to sports ground — great for outdoor learning","Wi-Fi / Internet"
284,"Hostel warden assisted during health emergency — grateful","Hostel"
285,"Bus service introduced for research scholars — appreciated","Transport"
286,"Internal assessment criteria shared transparently now","Academics"
287,"Old library infrastructure replaced with digital systems","Library"
288,"Broken playground equipment repaired before sports meet","Maintenance"
289,"Additional guards deployed during cultural fest — safe event","Security"
290,"Exam rescheduled because of technical issue — fair solution","Examination"
291,"Management conducted open Q&A session — very transparent","Administration"
292,"Mess food is tasteless and smells bad in the evening","Cafeteria"
293,"WiFi not accessible in research lab on 4th floor","Wi-Fi / Internet"
294,"Students sharing hostel rooms face conflict due to overcrowding","Hostel"
295,"Bus driver refused to wait for students arriving from exam","Transport"
296,"Elective course removed from timetable without notification","Academics"
297,"Library only allows 2-hour reading sessions on weekdays","Library"
298,"Paint chipping from walls poses health risk in labs","Maintenance"
299,"Strangers loitering near girls hostel entrance after dark","Security"
300,"Hall ticket printing portal crashed 1 day before exam","Examination"
301,"Annual report not shared with students despite request","Administration"
302,"Both mess and cafeteria closed on Sunday — students starving","Cafeteria"
303,"Hostel WiFi firewall blocks educational research sites","Wi-Fi / Internet"
304,"No laundry facility in hostel for outstation students","Hostel"
305,"Bus pass valid but conductors demand extra payment","Transport"
306,"Seminar topics assigned without student preference input","Academics"
307,"Library closes suddenly for staff meetings during study hours","Library"
308,"Gym equipment completely non-functional since months","Maintenance"
309,"Students involved in ragging despite strict zero tolerance","Security"
310,"Certificate backlog from convocation ceremony is pending","Examination"
311,"Administrative staff openly rude in front of crowd","Administration"
312,"Wi-Fi disconnects every 2 minutes when multiple users connect","Wi-Fi / Internet"
313,"Hostel block C students have no access to hot water","Hostel"
314,"Late bus forces students to miss first period regularly","Transport"
315,"Mid-semester exam questions leaked before paper","Academics"
316,"Photocopy service in library permanently discontinued","Library"
317,"Water logging in campus main road during heavy rain","Maintenance"
318,"Security does not stop vehicles speeding inside campus","Security"
319,"Project submission details changed on the day of deadline","Examination"
320,"Examination fees charged twice due to portal glitch","Administration"
321,"Mess management proactively addressed hygiene concerns","Cafeteria"
322,"High-speed WiFi now available in all hostel blocks","Wi-Fi / Internet"
323,"Hostel facilities much better compared to last year","Hostel"
324,"Campus bus service extended on college event days","Transport"
325,"Faculty offered free doubt sessions before semester exams","Academics"
326,"Library team organized a research methodology workshop","Library"
327,"Maintenance executed a complete campus cleanliness drive","Maintenance"
328,"Security upgraded entry verification — campus is safer now","Security"
329,"Exam timetable published in advance with no conflicts","Examination"
330,"College introduced a fast-track admission process","Administration"
331,"Same food item repeated daily in mess for two weeks","Cafeteria"
332,"WiFi not working in hostel study room after 10 PM","Wi-Fi / Internet"
333,"Hostel has too many students sharing one washroom","Hostel"
334,"College bus does not have first aid kit onboard","Transport"
335,"Department faculty meeting cancelled our lecture without notice","Academics"
336,"New books requested months ago still pending for purchase","Library"
337,"Broken step near canteen area caused a student to fall","Maintenance"
338,"Lady security guard not appointed for girls entry point","Security"
339,"Internal marks discrepancy not rectified even after appeal","Examination"
340,"Admin portal reset password feature not working","Administration"
341,"Cafeteria kitchen practices are unhygienic — open hair visible","Cafeteria"
342,"LMS portal not accessible because of campus WiFi restrictions","Wi-Fi / Internet"
343,"Hostel has developed fungus on walls due to water seepage","Hostel"
344,"Teachers using personal vehicles park in the bus bay","Transport"
345,"Course textbook recommended does not match syllabus","Academics"
346,"Library does not accept online reservation cancellations","Library"
347,"Lift in new building not operational after inauguration","Maintenance"
348,"Security personnel not checking identity proof at campus gate","Security"
349,"Mark transcript has missing subject paper from semester","Examination"
350,"No clarity on document requirements for certificate issuance","Administration"
351,"The new mess vendor has improved food quality significantly","Cafeteria"
352,"Campus WiFi speeds improved after infrastructure upgrade","Wi-Fi / Internet"
353,"Hostel study room fully renovated — students are grateful","Hostel"
354,"New bus stops added near student residences — very helpful","Transport"
355,"Professor arranged industry guest lecture — very insightful","Academics"
356,"Library acquired digital subscriptions to research journals","Library"
357,"Broken footpaths repaired before monsoon — proactive action","Maintenance"
358,"Security escort provided to late-night study group — excellent","Security"
359,"Results announced 1 week ahead of schedule — appreciated","Examination"
360,"Documents submitted and verified same day — great service","Administration"
361,"Mess serves the same bland rice every single day","Cafeteria"
362,"WiFi extremely slow during online exam period","Wi-Fi / Internet"
363,"Hostel gate locked from outside at 9 PM sharp — too early","Hostel"
364,"Bus arrives 30 minutes late during cold winter mornings","Transport"
365,"Professor takes roll-call then leaves class for 45 minutes","Academics"
366,"Library allows only 2 books at a time — very insufficient","Library"
367,"Water cooler leaking and causing slippery floor near lab","Maintenance"
368,"Security guard denies entry to students just before 9 PM","Security"
369,"Exam form correction facility provided only for 2 hours","Examination"
370,"Administration asked for documents already submitted","Administration"
371,"Very happy with the new additions to the library section","Library"
372,"Our hostel now has a clean and well-lit study environment","Hostel"
373,"New cafeteria menu includes healthy options — great change","Cafeteria"
374,"WiFi stability is now reliable even during heavy usage","Wi-Fi / Internet"
375,"Bus service timeline is now displayed on the campus app","Transport"
376,"Faculty motivated students before competitive exam — helpful","Academics"
377,"Maintenance team installed water purifiers in all blocks","Maintenance"
378,"Security personnel conduct regular fire safety drills","Security"
379,"Exam schedule accommodates different course batches fairly","Examination"
380,"Campus administration published fee structure transparently","Administration"
381,"Mess workers wash hands less and serve food with bare hands","Cafeteria"
382,"WiFi speed is inconsistent — fast one day, dead the next","Wi-Fi / Internet"
383,"Hostel cots have broken legs and mattresses are torn","Hostel"
384,"Bus does not reach all hostels — some students walk 2 km","Transport"
385,"No doubt clearing sessions organized for final year students","Academics"
386,"Library photocopier charges are 3 times the market rate","Library"
387,"Electrical wiring exposed in lab is dangerous","Maintenance"
388,"Eve-teasing near canteen unaddressed by security staff","Security"
389,"Answer sheets not returned after rechecking request","Examination"
390,"College withholds results due to fee default — unfair","Administration"
391,"Mess serves excellent biryani on Friday — everyone loves it","Cafeteria"
392,"Campus fiber WiFi upgraded — ultra-fast speeds now","Wi-Fi / Internet"
393,"Hostel authorities handle student grievances proactively","Hostel"
394,"Bus route updated as per students feedback — appreciated","Transport"
395,"Faculty coordinators are genuinely helpful and supportive","Academics"
396,"Library introduced night reading facility for exam preparation","Library"
397,"Maintenance fixed all broken benches before college fest","Maintenance"
398,"Security maintained strict discipline during cultural event","Security"
399,"Exam marks uploaded on time this semester — good change","Examination"
400,"College principal addressed student grievances directly","Administration"
401,"Pungent smell from drainage near mess is very disturbing","Cafeteria"
402,"WiFi password shared publicly leading to slow internet","Wi-Fi / Internet"
403,"Hostel requires deposit but does not refund on time","Hostel"
404,"Night campus bus discontinued — students left stranded","Transport"
405,"Student projects ignored by faculty with no feedback given","Academics"
406,"Library closed for stock verification for 10 consecutive days","Library"
407,"Broken wall tiles near entry cause trip hazards","Maintenance"
408,"Security does not escort female students after dark","Security"
409,"Viva marks not updated in portal despite being conducted","Examination"
410,"Administration does not respond within stipulated timeframe","Administration"
411,"Campus hosts annual food fest with amazing variety","Cafeteria"
412,"Library WiFi provides great speed for research browsing","Wi-Fi / Internet"
413,"Hostel campus integrated new mobile-based room access","Hostel"
414,"College updated bus tracking using mobile app — convenient","Transport"
415,"New faculty has made academics very engaging and practical","Academics"
416,"Library added braille books — very inclusive gesture","Library"
417,"Campus sustainability team fixed AC units in all labs","Maintenance"
418,"Security guards greet students and are well trained","Security"
419,"Answer booklet re-evaluation completed without delay","Examination"
420,"Administration went digital with all student documents","Administration"
421,"Mess tastes great on some days but inconsistent overall","Cafeteria"
422,"WiFi stable mostly but breaks down during thunderstorms","Wi-Fi / Internet"
423,"Hostel has a decent common room but needs better furniture","Hostel"
424,"College bus is punctual most days but occasionally late","Transport"
425,"Professors are knowledgeable but sometimes hard to reach","Academics"
426,"Library resources are sufficient but hours could be extended","Library"
427,"Most maintenance issues are resolved within a day","Maintenance"
428,"Security is fairly strict but sometimes too rigid with rules","Security"
429,"Exams are conducted fairly with some room for improvement","Examination"
430,"Administration is responsive but process is sometimes slow","Administration"
431,"Campus net blocked all streaming sites affecting remote study","Wi-Fi / Internet"
432,"Canteen closed for renovation but no alternative provided","Cafeteria"
433,"Hostel students cannot use common room after 10 PM","Hostel"
434,"Last Friday campus bus was early and left 10 students","Transport"
435,"Internal assessment surprised us with undisclosed criteria","Academics"
436,"Library staff not present at counter during advertised hours","Library"
437,"AC broke down in computer lab on submission deadline day","Maintenance"
438,"Unknown vehicle parked inside campus for 3 days unchecked","Security"
439,"CA-1 marks not disclosed despite student requests","Examination"
440,"Administrative office closes before the advertised time daily","Administration"
441,"Fresh juices and salads now available in mess — appreciated","Cafeteria"
442,"WiFi upgraded with seamless login — no daily password","Wi-Fi / Internet"
443,"New hostel block inaugurated with modern amenities","Hostel"
444,"Campus introduced student bus pass with discount scheme","Transport"
445,"Exam preparatory sessions conducted by top faculty","Academics"
446,"Interlibrary book loan facility introduced — very helpful","Library"
447,"Entire campus corridor repainted — looks vibrant and clean","Maintenance"
448,"Bag scanners installed at main entrance — enhanced security","Security"
449,"Grace marks applied quickly after supporting documentation","Examination"
450,"Administration helped organize all docs before graduation","Administration"
451,"Mess does not accommodate students with food allergies","Cafeteria"
452,"WiFi router in block B not working since last week","Wi-Fi / Internet"
453,"Hostel power cut without any prior notification at night","Hostel"
454,"Bus does not run during mid-semester holidays — bad policy","Transport"
455,"No supplementary teaching provided for weak students","Academics"
456,"Library has no air conditioning — very hot in summer","Library"
457,"Sewage line near academic block broken and smells terrible","Maintenance"
458,"Suspicious persons spotted near labs after evening hours","Security"
459,"Exam date sheet not updated after postponement notification","Examination"
460,"Document collection drive by admin — students poorly notified","Administration"
461,"So impressed with the campus infrastructure and cleanliness","Maintenance"
462,"Student mess committee was involved in weekly menu planning","Cafeteria"
463,"High quality research wifi is available in all labs","Wi-Fi / Internet"
464,"Hostel common toilets cleaned twice daily — very hygienic","Hostel"
465,"Bus tracked on map via college app — helpful for students","Transport"
466,"All electives available for registration this semester","Academics"
467,"New library catalog system makes searching books easy","Library"
468,"Surprise fire drill conducted efficiently — students feel safe","Security"
469,"Exam portal showed incorrect marks initially now corrected","Examination"
470,"Transparent fee structure published for all students online","Administration"
471,"Mess food served cold — reheating facility is unavailable","Cafeteria"
472,"Campus broadband cuts out during evening peak hours","Wi-Fi / Internet"
473,"Hostel corridor light bulbs replaced only after complaints","Hostel"
474,"Bus seat allocation for girls and boys is disorganized","Transport"
475,"Academic calendar not followed — classes held on declared holidays","Academics"
476,"Library entry denied without valid ID even for enrolled students","Library"
477,"Tree fallen near hostel entry blocking path since 3 days","Maintenance"
478,"Security demanded unnecessary documents for entry permission","Security"
479,"Wrong paper given to whole batch in exam hall — chaos","Examination"
480,"Administration returns documents with missing attestation","Administration"
481,"Mess served expired milk during breakfast — students fell ill","Cafeteria"
482,"WiFi SSID disappeared from network list for 2 days","Wi-Fi / Internet"
483,"Hostel lockroom lockers are broken with no replacements","Hostel"
484,"Bus does not stop at designated spots causing confusion","Transport"
485,"Professor marked submission late even with portal timestamp proof","Academics"
486,"Library does not have journal access for science students","Library"
487,"Flood lights in ground broken — sports activity stopped","Maintenance"
488,"Security allowed outsiders in campus for a fee unlawfully","Security"
489,"Project thesis bound copy rejected at wrong binding cost","Examination"
490,"Student council election results not announced in time","Administration"
491,"WiFi now available 24 hours — students can study at night","Wi-Fi / Internet"
492,"Hostel equipped with solar panels — reduced electricity cost","Hostel"
493,"New direct campus bus route saves 45 minutes daily","Transport"
494,"Guest faculty from industry added great value this semester","Academics"
495,"Library extended weekend hours — perfect for exam prep","Library"
496,"Cafeteria underwent full hygiene certification this month","Cafeteria"
497,"Pothole repair drive completed in all campus pathways","Maintenance"
498,"Lost and found managed efficiently by security this event","Security"
499,"Supplementary exam marks corrected and portal updated","Examination"
500,"Administration digitized all student records — faster service","Administration"
